Time (in secs),Degrees,PWM (in %),Speed (in degrees per sec)
0.05,0,0,0
0.1,7,55,140
0.15,23,49,320
0.2,42,44,380
0.25,61,37,380
0.3,78,32,340
0.35,93,30,300
0.4,106,33,260
0.45,119,32,260
0.5,132,32,260
0.55,145,29,260
0.6,157,31,240
0.65,169,32,240
0.7,182,32,260
0.75,194,32,240
0.8,207,30,260
0.85,219,32,240
0.9,232,32,260
0.95,245,31,260
1,257,31,240
1.05,269,32,240
1.1,280,35,220
1.15,289,39,180
1.2,297,43,160
1.25,305,48,160
1.3,312,52,140
1.35,324,51,240
1.4,339,49,300
1.45,351,50,240
1.5,360,55,180
1.55,366,64,120
1.6,371,69,100
1.65,378,71,140
1.7,388,75,200
1.75,400,75,240
1.8,414,72,280
1.85,429,70,300
1.9,445,65,320
1.95,461,60,320
2,479,55,360
2.05,500,47,420
2.1,520,39,400
2.15,538,35,360
2.2,554,32,320
2.25,568,32,280
2.3,582,30,280
2.35,595,31,260
2.4,607,31,240
2.45,619,32,240
2.5,632,32,260
2.55,645,29,260
2.6,657,31,240
2.65,669,32,240
2.7,682,30,260
2.75,694,32,240
2.8,707,32,260
2.85,720,29,260
2.9,732,31,240
2.95,744,32,240
3,757,32,260
3.05,769,32,240
3.1,782,30,260
3.15,795,29,260
3.2,807,31,240
3.25,819,32,240
3.3,832,32,260
3.35,844,32,240
3.4,857,32,260
3.45,869,32,240
3.5,882,32,260
3.55,895,29,260
3.6,907,31,240
3.65,919,32,240
3.7,932,30,260
3.75,944,32,240
3.8,957,32,260
3.85,970,29,260
3.9,982,31,240
3.95,994,32,240
4,1007,32,260
4.05,1019,32,240
4.1,1032,30,260
4.15,1045,29,260
4.2,1057,31,240
4.25,1069,32,240
4.3,1082,30,260
4.35,1094,32,240
4.4,1107,32,260
4.45,1120,29,260
4.5,1132,31,240
4.55,1144,32,240
4.6,1157,32,260
4.65,1169,32,240
4.7,1182,32,260
4.75,1194,32,240
4.8,1207,32,260
4.85,1219,32,240
4.9,1232,32,260
4.95,1245,29,260
5,1257,31,240
5.05,1269,32,240
5.1,1282,30,260
5.15,1294,32,240
5.2,1307,32,260
5.25,1319,32,240
5.3,1332,32,260
5.35,1345,29,260
5.4,1357,31,240
5.45,1369,32,240
5.5,1382,32,260
5.55,1394,32,240
5.6,1407,32,260
5.65,1419,32,240
5.7,1432,32,260
5.75,1444,32,240
5.8,1457,32,260
5.85,1470,29,260
5.9,1482,31,240
5.95,1494,32,240
6,1506,32,240
6.05,1519,32,260
6.1,1532,30,260
6.15,1544,32,240
6.2,1557,32,260
6.25,1570,29,260
6.3,1582,31,240
6.35,1594,32,240
6.4,1607,30,260
6.45,1619,32,240
6.5,1632,32,260
6.55,1644,32,240
6.6,1657,32,260
6.65,1669,32,240
6.7,1682,32,260
6.75,1694,32,240
6.8,1707,32,260
6.85,1719,32,240
6.9,1732,32,260
6.95,1744,32,240
7,1757,32,260
7.05,1769,32,240
7.1,1782,32,260
7.15,1794,32,240
7.2,1807,32,260
7.25,1819,32,240
7.3,1832,32,260
7.35,1844,32,240
7.4,1857,32,260
7.45,1869,32,240
7.5,1882,32,260
7.55,1894,32,240
7.6,1907,32,260
7.65,1919,32,240
7.7,1932,32,260
7.75,1944,32,240
7.8,1957,32,260
7.85,1969,32,240
7.9,1982,32,260
7.95,1994,32,240
8,2007,32,260
8.05,2019,32,240
8.1,2032,32,260
8.15,2044,32,240
8.2,2057,32,260
8.25,2069,32,240
8.3,2082,30,260
8.35,2094,32,240
8.4,2107,32,260
8.45,2120,29,260
8.5,2132,31,240
8.55,2144,32,240
8.6,2157,30,260
8.65,2169,32,240
8.7,2182,32,260
8.75,2194,32,240
8.8,2207,32,260
8.85,2219,32,240
8.9,2232,32,260
8.95,2244,32,240
9,2257,32,260
9.05,2269,32,240
9.1,2282,32,260
9.15,2294,32,240
9.2,2307,32,260
9.25,2319,32,240
9.3,2332,30,260
9.35,2345,29,260
9.4,2357,31,240
9.45,2369,32,240
9.5,2382,30,260
9.55,2394,32,240
9.6,2407,30,260
9.65,2419,32,240
9.7,2432,32,260
9.75,2445,29,260
9.8,2457,31,240
9.85,2469,32,240
9.9,2482,30,260
9.95,2494,32,240
10,2507,30,260
